A13|English|Romanishin gambit|c4 e6 Nf3 Nf6 g3 a6 Bg2 b5 
A13|English opening|Agincourt variation|c4 e6 Nf3 d5 
A13|English|Wimpey system|c4 e6 Nf3 d5 b3 Nf6 Bb2 c5 e3 
A13|English opening|Agincourt variation|c4 e6 Nf3 d5 g3 
A13|English|Kurajica defence|c4 e6 Nf3 d5 g3 c6 
A13|English|Neo-Catalan|c4 e6 Nf3 d5 g3 Nf6 
A13|English|Neo-Catalan accepted|c4 e6 Nf3 d5 g3 Nf6 Bg2 dxc4 
A14|English|Neo-Catalan declined|c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 O-O 
A14|English|Symmetrical, Keres defence|c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 O-O c5 cxd5 Nxd5 Nc3 Nc6 
A15|English, 1...Nf6 (Anglo-Indian defense)||c4 Nf6 
A15|English orang-utan||c4 Nf6 b4 
A15|English opening||c4 Nf6 Nf3 
A16|English opening||c4 Nf6 Nc3 
A16|English|Anglo-Gruenfeld defense|c4 Nf6 Nc3 d5 
A16|English|Anglo-Gruenfeld, Smyslov defense|c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 g6 Bg2 Nxc3 
A16|English|Anglo-Gruenfeld, Czech defense|c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 g6 Bg2 Nb6 
A16|English|Anglo-Gruenfeld defense|c4 Nf6 Nc3 d5 cxd5 Nxd5 Nf3 
A16|English|Anglo-Gruenfeld defense, Korchnoi variation|c4 Nf6 Nc3 d5 cxd5 Nxd5 Nf3 g6 g3 Bg7 Bg2 e5 
A17|English opening||c4 Nf6 Nc3 e6 
A17|English|Queens Indian formation|c4 Nf6 Nc3 e6 Nf3 b6 
A17|English|Queens Indian, Romanishin variation|c4 Nf6 Nc3 e6 Nf3 b6 e4 Bb7 Bd3 
A17|English|Nimzo-English opening|c4 Nf6 Nc3 e6 Nf3 Bb4 
A18|English|Mikenas-Carls variation|c4 Nf6 Nc3 e6 e4 
A18|English|Mikenas-Carls, Flohr variation|c4 Nf6 Nc3 e6 e4 d5 e5 
A18|English|Mikenas-Carls, Kevitz variation|c4 Nf6 Nc3 e6 e4 Nc6 
A19|English|Mikenas-Carls, Sicilian variation|c4 Nf6 Nc3 e6 e4 c5 
A20|English opening||c4 e5 
A20|English, Nimzovich variation||c4 e5 Nf3 
A20|English, Nimzovich, Flohr variation||c4 e5 Nf3 e4 
A21|English opening||c4 e5 Nc3 
A21|English, Troeger defence||c4 e5 Nc3 d6 g3 Be6 Bg2 Nc6 
A21|English, Keres variation||c4 e5 Nc3 d6 g3 c6 
A21|English opening||c4 e5 Nc3 d6 Nf3 
A21|English, Smyslov defence||c4 e5 Nc3 d6 Nf3 Bg4 
A21|English, Kramnik-Shirov counterattack||c4 e5 Nc3 Bb4 
A22|English opening||c4 e5 Nc3 Nf6 
A22|English|Bellon gambit|c4 e5 Nc3 Nf6 Nf3 e4 Ng5 b5 
A22|English|Carls' Bremen system|c4 e5 Nc3 Nf6 g3 
A22|English|Bremen, reverse dragon|c4 e5 Nc3 Nf6 g3 d5 
A22|English|Bremen, Smyslov system|c4 e5 Nc3 Nf6 g3 Bb4 
A23|English|Bremen system, Keres variation|c4 e5 Nc3 Nf6 g3 c6 
A24|English|Bremen system with ...g6|c4 e5 Nc3 Nf6 g3 g6 
A25|English|Sicilian reversed|c4 e5 Nc3 Nc6 
A25|English|closed system|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 
A25|English|closed, Taimanov variation|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 e3 d6 Nge2 Nh6 
A25|English|closed, Hort variation|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 e3 d6 Nge2 Be6 
A25|English|closed, 5.Rb1|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 Rb1 
A25|English|closed, 5.Rb1 Taimanov variation|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 Rb1 Nh6 
A25|English|closed system (without ...d6)|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3 
A26|English|closed system|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3 d6 
A26|English|Botvinnik system|c4 e5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3 d6 e4 
A27|English|three knights system|c4 e5 Nc3 Nc6 Nf3 
A28|English|four knights system|c4 e5 Nc3 Nc6 Nf3 Nf6 
A28|English|Nenarokov variation|c4 e5 Nc3 Nc6 Nf3 Nf6 d4 exd4 Nxd4 Bb4 Bg5 h6 Bh4 Bxc3+ bxc3 Ne5 
A28|English|Bradley Beach variation|c4 e5 Nc3 Nc6 Nf3 Nf6 d4 e4 
